sale_id,order_date,product_id,region,payment_method,quantity,unit_price,sales_amount,notes
5001,2024-06-01,P05,West,Debit Card,9.0,3299.0,29691.0,N/A
5002,2024-06-03,P10,North,Debit Card,4.0,14999.0,59996.0,N/A
5003,2024-06-05,P07,West,UPI,8.0,6999.0,55992.0,N/A
5004,2024-06-07,P04,South,Debit Card,8.0,1999.0,15992.0,N/A
5005,2024-06-09,P04,West,UPI,5.0,,,N/A
5006,2024-06-11,P08,East,Credit Card,8.0,8499.0,67992.0,N/A
5007,2024-06-13,P08,South,Cash on Delivery,6.0,8499.0,50994.0,N/A
5008,2024-06-15,P10,South,Cash on Delivery,7.0,14999.0,104993.0,N/A
5009,2024-06-17,P08,South,UPI,3.0,8499.0,25497.0,N/A
5010,2024-06-19,P09,north,Debit Card,1.0,10999.0,10999.0,N/A
5011,2024-06-21,P10,South,Cash on Delivery,6.0,14999.0,89994.0,N/A
5012,2024-06-23,P09,West,UPI,4.0,10999.0,43996.0,N/A
5013,2024-06-25,P08,West,Credit Card,1.0,8499.0,8499.0,N/A
5014,2024-06-27,P07,East,Credit Card,6.0,6999.0,41994.0,N/A
5015,2024-06-29,P05,West,UPI,8.0,3299.0,26392.0,N/A
5016,2024-07-01,P01,East,UPI,,799.0,,N/A
5017,2024-07-03,P08,East,UPI,9.0,8499.0,76491.0,N/A
5018,2024-07-05,P01,South,Debit Card,5.0,799.0,3995.0,N/A
5019,2024-07-07,P08,West,Credit Card,1.0,8499.0,8499.0,N/A
5020,2024-07-09,P07,West,Credit Card,3.0,6999.0,20997.0,N/A
5021,2024-07-11,P04,West,Debit Card,1.0,1999.0,1999.0,N/A
5022,2024-07-13,P06,East,Debit Card,8.0,2799.0,22392.0,N/A
5023,2024-07-15,P09,SOUTH,Debit Card,7.0,10999.0,76993.0,N/A
5024,2024-07-17,P09,North,Credit Card,3.0,10999.0,32997.0,N/A
5025,2024-07-19,P08,North,Debit Card,6.0,8499.0,50994.0,N/A
5026,2024-07-21,P06,South,Credit Card,2.0,2799.0,5598.0,N/A
5027,2024-07-23,P01,West,Debit Card,1.0,799.0,799.0,N/A
5028,2024-07-25,P01,South,Cash on Delivery,1.0,799.0,799.0,N/A
5029,2024-07-27,P03,South,Debit Card,2.0,1599.0,3198.0,N/A
5030,2024-07-29,P09,North,Debit Card,2.0,10999.0,21998.0,N/A
5031,2024-07-31,P10,West,Credit Card,-3.0,14999.0,89994.0,N/A
5032,2024-08-02,P07,East,UPI,4.0,6999.0,27996.0,N/A
5033,2024-08-04,P05,East,UPI,3.0,3299.0,9897.0,N/A
5034,2024-08-06,P10,North,Debit Card,1.0,14999.0,14999.0,N/A
5035,2024-08-08,P08,North,Debit Card,5.0,8499.0,42495.0,N/A
5036,2024-08-10,P04,South,UPI,9.0,1999.0,17991.0,N/A
5037,2024-08-12,P04,North,UPI,8.0,1999.0,15992.0,N/A
5038,2024-08-14,P09,West,Cash on Delivery,2.0,10999.0,21998.0,N/A
5039,2024-08-16,P04,West,UPI,5.0,1999.0,9995.0,N/A
5040,2024-08-18,P01,West,Debit Card,4.0,799.0,3196.0,N/A
5041,2024-08-20,P02,North,Credit Card,7.0,3499.0,24493.0,N/A
5042,2024-08-22,P01,North,UPI,8.0,799.0,6392.0,N/A
5043,2024-08-24,P01,West,Credit Card,2.0,799.0,1598.0,N/A
5044,2024-08-26,P07,North,Credit Card,1.0,6999.0,6999.0,N/A
5045,2024-08-28,P08,East,Debit Card,3.0,8499.0,25497.0,N/A
5046,2024-08-30,P08,East,Cash on Delivery,8.0,8499.0,67992.0,N/A
5047,2024-09-01,P10,East,UPI,1.0,14999.0,14999.0,N/A
5048,2024-09-03,P04,West,UPI,1.0,1999.0,1999.0,N/A
5049,2024-09-05,P01,West,Cash on Delivery,9.0,799.0,7191.0,N/A
5050,2024-09-07,P08,West,UPI,3.0,8499.0,25497.0,N/A
5051,2024-09-09,P08,South,Credit Card,1.0,8499.0,8499.0,N/A
5052,2024-09-11,P08,East,Cash on Delivery,6.0,8499.0,50994.0,N/A
5053,2024-09-13,P01,West,Credit Card,6.0,799.0,4794.0,N/A
5054,2024-09-15,P06,West,UPI,1.0,2799.0,2799.0,N/A
5055,2024-09-17,P05,South,Cash on Delivery,1.0,3299.0,3299.0,N/A
5056,2024-09-19,P04,North,Debit Card,9.0,1999.0,17991.0,N/A
5057,2024-09-21,P02,North,Credit Card,5.0,3499.0,17495.0,N/A
5058,2024-09-23,P04,West,UPI,6.0,1999.0,11994.0,N/A
5059,2024-09-25,P02,South,UPI,2.0,3499.0,6998.0,N/A
5060,2024-09-27,P04,North,UPI,5.0,1999.0,9995.0,N/A
5008,2024-06-15,P10,South,Cash on Delivery,7.0,14999.0,104993.0,N/A
